"Nombre";"Licencias";"Dominios";"UsuarioTwitter"
"Bluesblock, SA";"Concursos";"www.bluesblock.es";NA
"Codere Online, SAU";"Ruleta,Black Jack,M_quinas de azar - slots,Deportivas de contrapartida,H_picas de contrapartida,Otras de contrapartida";"www.codere.es,apuestas.codere.es,www.codereapuestas.es,";"@CodereApuestas"
"Concursos Multiplataformas, SAU";"Concursos";NA;NA
"Esgaming, SAU";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots";"www.casinogranmadridtv.es,www.casinogranmadridonline.es,www.casinogranmadrid.es,";"@CasinoGranMad"
"Eurojuego Star, SA";"Concursos";"www.eurojuego.es,www.eurojuegostar.es,";"@Eurojuego"
"JS2015 Games, SAU";NA;NA;NA
"Sociedad Estatal Loter_as y Apuestas del Estado, S.M.E.,S.A.";"Deportivas mutuas,H_picas mutuas";"www.loteriasyapuestas.es";"@loterias_es"
"Suertia Interactiva, SA";"Ruleta,Black Jack,M_quinas de azar - slots,Deportivas mutuas,Deportivas de contrapartida";"www.suertia.es";"@Suertia"
"Unidad Editorial Juegos, SA";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots,Deportivas de contrapartida";"apuestas.marca.es,marcaapuestas.es,";"@MARCAapuestas"
"888 Spain, Plc";"P_quer,Ruleta,Black Jack,M_quinas de azar - slots,Deportivas de contrapartida";"www.888.es,www.888casino.es,www.888poker.es,www.888sport.es,";"@888pokerSpain"
"Banegras Uni_n, SA";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots,Deportivas de contrapartida";"www.juegging.es";"@JueggingES"
"Beatya Online Entertainment, PLC";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots,Deportivas de contrapartida";"www.starvegas.es";NA
"Betfair International, PLC";"P_quer,Ruleta,Black Jack,M_quinas de azar - slots,Deportivas de contrapartida,Deportivas cruzadas,H_picas de contrapartida,Otras de contrapartida,Otras apuestas cruzadas";"www.betfair.es";"@Betfair_ES"
"Betway Spain, PLC";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots";"www.betway.es";"@BetwayES"
"Casino Barcelona Interactivo, SA";"P_quer,Ruleta,Black Jack,M_quinas de azar - slots";"www.casinobarcelona.es";"@CasinoBcnES"
"Cirsa Digital, SAU";"P_quer,Bingo,Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots,Deportivas de contrapartida,H_picas de contrapartida,Otras de contrapartida";"www.sportium.es";"@sportium"
"Comar Inversiones, SA";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots,Deportivas de contrapartida";"www.ijuego.es";NA
"Ebingo Online Espa_a, SA";"Bingo,Ruleta,Black Jack,M_quinas de azar - slots";"ebingo.es";"@ebingo_es"
"Ekasa Apuestas Online, S.A.";"Deportivas de contrapartida,Otras de contrapartida";"apuestas.retabet.es";"@apuestasRETA"
"Electraworks Espa_a, PLC";"P_quer,Ruleta,Black Jack,M_quinas de azar - slots,Deportivas de contrapartida";"www.bwin.es,www.partypoker.es,";"@bwin_es"
"Euroapuestas Online, SAU";"Ruleta,Black Jack,M_quinas de azar - slots,Deportivas de contrapartida,Otras de contrapartida";"www.paston.es";"@Paston_es"
"Eurobet International, SPA";NA;NA;NA
"Eurobox, S.A.";"Ruleta,Black Jack,M_quinas de azar - slots,Deportivas de contrapartida";"www.circus.es";"@circus_es"
"Golden Park Games, SA";"Ruleta,Black Jack,M_quinas de azar - slots,Deportivas de contrapartida,H_picas de contrapartida";"http://www.goldenpark.es,www.todoslots.es,";"@GoldenPark_Esp"
"Gtech Spain, SA";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots";NA;NA
"Hillside Spain New Media, PLC";"Deportivas de contrapartida,H_picas de contrapartida,Otras de contrapartida";"www.bet365.es";"@bet365_es"
"Interwetten Espa_a, PLC";"Ruleta,Black Jack,M_quinas de azar - slots,Deportivas de contrapartida";"www.interwetten.es";"@Interwetten_Esp"
"Juego Online, EAD";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots,Deportivas de contrapartida";"www.titanbet.es,poker.titanbet.es,casino.titanbet.es,www.dlp.titanbet.es,";"@Titanbet_Espana"
"Kambi Spain, PLC";"Deportivas de contrapartida,H_picas de contrapartida,Otras de contrapartida";NA;NA
"Luckia Games, SA";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots,Deportivas mutuas,Deportivas de contrapartida,H_picas de contrapartida,Otras de contrapartida";"www.luckia.es";"@luckia_es"
"Marathonbet Spain, SA";"Ruleta,Black Jack,Punto y banca,Deportivas de contrapartida";"www.mbet.es,www.maratonbet.es,www.marathonbet.es,";"@Marathonbet_es"
"Merkur Interactive Malta, PLC";"Ruleta,Black Jack,M_quinas de azar - slots";"www.merkurmagic.es";"@merkurmagic"
"Paf-Consulting, ABP";"Bingo,Ruleta,Black Jack,M_quinas de azar - slots,Deportivas de contrapartida,Otras de contrapartida";"http://www.paf.es";NA
"Plataforma de Apuestas Cruzadas, S.A.";"Deportivas cruzadas";"http://www.carcaj.es";NA
"Premi_re Megaplex, SA";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots";"www.premiercasino.es,www.starcasino.es,";"@StarCasino_ES"
"Reel Spain, PLC";"P_quer,Ruleta,Black Jack,M_quinas de azar - slots,Deportivas de contrapartida,H_picas de contrapartida,Otras de contrapartida";"www.pokerstars.es,www.betstars.es,";"@PokerStarsSpain"
"Rfranco Digital, SAU.";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots,Deportivas de contrapartida";"www.wanabet.es";"@wanabet_es"
"SKS365 Espa_a, PLC";"Ruleta,M_quinas de azar - slots,Deportivas de contrapartida,Otras de contrapartida";"planetwin365.es";"@planetwin365es"
"Tele Apostuak, SA";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots,Deportivas mutuas,Deportivas de contrapartida,H_picas de contrapartida,Otras de contrapartida";"apuestas.kirolbet.es";"@Kirolbet_es"
"Whg Spain, PLC";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots,Deportivas de contrapartida,H_picas de contrapartida,Otras de contrapartida";"www.williamhill.es";"@WilliamHillES"
"Bingosoft, PLC";"Bingo,Ruleta,M_quinas de azar - slots";"www.yobingo.es";"@Yobingo"
"Digital Distribution Management Ib_rica, SA";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots";"www.casino777.es";"@Casino777es"
"Gamesys Spain, PLC";"Bingo,Ruleta,Black Jack,M_quinas de azar - slots";"www.botemania.es,www.canalbingo.es,m.canalbingo.es,m.botemania.es,";"@botemania"
"Giga Game Online, SA";NA;NA;NA
"Hillside Espa_a Leisure, SA";"P_quer,Ruleta,Black Jack,M_quinas de azar - slots";"www.bet365.es,casino.bet365.es,mobile.bet365.es,poker.bet365.es,slots.bet365.es,";NA
"NetEnt Gaming Solutions, PLC";"M_quinas de azar - slots";NA;NA
"Prima Networks Spain, PLC";"Bingo,Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots";NA;NA
"Pt Entretenimiento Online, EAD";"P_quer,M_quinas de azar - slots";NA;NA
"Rank Digital Espa_a, S.A.";"Bingo,Ruleta,Black Jack,M_quinas de azar - slots";"www.enracha.es";"@enracha"
"T_mbola International, PLC";"Bingo";"www.tombola.es";"@BingoTombola"
"Ventura24games, SA";NA;NA;"@ventura24"
"Vive La Suerte, SA";"Ruleta,Black Jack,Punto y banca,M_quinas de azar - slots";"www.vivelasuerte.es";"@vivelasuerte"
